epoch,timestamp,train_loss,grad_norm,batch_time,data_time,model_time,loss_scale,epoch_time,val_acc1,val_acc5,val_loss,lr,weight_decay,val_acc1_ema
0,2026-08-15T18:53:48.361898,0.8281511579241071,"tensor(nan, device='cuda:0')",1.5165294579097204,1.3014599766050066,0.17643818855285645,33353.142857142855,86.11199808120728,36.2962962962963,100.00000039559824,1.5202546296296295,1.668526785714286e-05,0.05,32.592592592592595
1,2026-08-15T18:55:57.060684,0.7651628766741071,"tensor(7.1490, device='cuda:0')",1.5667243472167425,1.3911393199648177,0.17840313911437988,32768.0,89.03929305076599,59.25925934403031,100.00000039559824,1.3463324652777777,3.0747767857142855e-05,0.05,56.2962962962963
2,2026-08-15T18:58:27.294977,0.6731741768973214,"tensor(6.8619, device='cuda:0')",1.8372519867760795,1.6510649110589708,0.16822094917297364,32768.0,104.42916345596313,66.66666683620876,100.00000039559824,1.096021412037037,3.121920290159346e-05,0.05,61.481481523867004
3,2026-08-15T19:00:29.634311,0.5915352957589286,"tensor(6.3858, device='cuda:0')",1.4681367576122284,1.3066969130720412,0.14149041175842286,32768.0,83.45637106895447,68.88888900191695,100.00000039559824,0.912572337962963,3.112234037846768e-05,0.05,66.66666683620876
4,2026-08-15T19:02:31.852837,0.5375017438616071,"tensor(6.1612, device='cuda:0')",1.4719231554440089,1.3382805372987474,0.11675176620483399,32768.0,83.59698867797852,74.07407418710214,100.00000039559824,0.784910300925926,3.0959784951134256e-05,0.05,71.85185190836589
5,2026-08-15T19:04:33.323982,0.51470947265625,"tensor(6.2968, device='cuda:0')",1.4601451201098306,1.3113709092140198,0.11082286834716797,32768.0,82.97274327278137,81.48148159450955,100.00000039559824,0.7132667824074074,3.0732232706888986e-05,0.05,78.51851863154658
6,2026-08-15T19:06:33.968551,0.4988621303013393,"tensor(6.3215, device='cuda:0')",1.446646464722497,1.3022686072758265,0.1809664249420166,32768.0,82.23724126815796,83.70370381673177,100.00000039559824,0.6444769965277778,3.0440658059376203e-05,0.05,79.25925928751627
7,2026-08-15T19:08:34.222695,0.47234671456473215,"tensor(6.0727, device='cuda:0')",1.440882635968072,1.2781772656100137,0.1577479362487793,32768.0,81.88041615486145,82.962963019477,100.00000039559824,0.5999891493055556,3.00863095759999e-05,0.05,81.48148159450955
8,2026-08-15T19:10:37.473864,0.45878383091517855,"tensor(6.1117, device='cuda:0')",1.4900485702923365,1.3240816848618644,0.17651748657226562,32768.0,84.61488056182861,85.18518524169922,100.00000039559824,0.5667281539351852,2.9670704631366464e-05,0.05,82.22222239176432
9,2026-08-15T19:12:39.845016,0.451751708984375,"tensor(6.2126, device='cuda:0')",1.4866273828915186,1.3321389428206853,0.17064456939697265,32768.0,84.48763370513916,82.96296307599103,100.00000039559824,0.5283817997685185,2.919562290965365e-05,0.05,84.44444450095848
